latitude,longitude,temp_mean,temp_std,temp_max,temp_min,pm25_mean,pm25_std,pm25_max,pm25_min,pm10_mean,pm10_std,pm10_max,pm10_min,epa_mean,epa_max,duaod550_mean,duaod550_std,node_id,epa_index,math_danger_score,cluster,ed_score
26.800000000000047,44.8,22.811413275547466,9.204088416824616,42.532370000000014,1.706080000000043,33.85588139479928,21.909049543424285,129.38081000000005,4.5523603,188.32067690009129,147.2181574152422,1036.4184,10.608674,2.875,6,0.2307769734507299,0.167320482221761,26.80_44.80,6,97.5,2,97.5
26.800000000000047,45.2,22.810637262773746,9.192873958668285,42.75356000000005,1.339870000000019,34.23278296322993,22.020483743150542,130.49193000000002,5.4273794,193.94931326824815,151.00215878218046,954.7164,12.838371,2.8822992700729926,6,0.2358524486916058,0.1692622162649885,26.80_45.20,6,97.5,2,97.5
26.800000000000047,45.6,22.892940720802944,9.34859268395364,43.32388000000003,0.8935800000000427,33.558171929835765,20.52136098069852,132.73532,4.9296984,184.95715381843067,133.6441117902967,813.3073,10.469967,2.835766423357664,6,0.2404907495364963,0.1732893668089203,26.80_45.60,6,97.5,2,97.5
26.800000000000047,45.99999999999999,23.07408806569345,9.416960766382008,43.91372000000001,0.9834200000000236,33.18547480857664,19.792616001428573,144.52002,5.1135087,176.92531093613138,121.68181853481212,793.81573,10.67854,2.791970802919708,6,0.2429051896979926,0.1774410030738004,26.80_46.00,6,97.5,2,97.5
26.800000000000047,46.39999999999999,23.25997077554747,9.528998208061491,44.58070000000004,1.2158400000000142,34.84162072810219,22.76182834724968,351.16898,4.9532316,193.3240802490876,151.96117841094608,2146.0212,12.603434,2.9215328467153285,6,0.2479285594087591,0.1839079479076078,26.80_46.40,6,97.5,2,97.5
26.800000000000047,46.79999999999999,23.40424372262776,9.561892865821408,44.74453,1.5732700000000364,37.643450985401465,24.083039055948,158.15716,4.5180952,226.05865721624087,189.1757396236241,1193.075,9.573154,3.1286496350364965,6,0.2580400148448905,0.1921270991743106,26.80_46.80,6,99.5,2,99.5
26.800000000000047,47.19999999999999,23.48484510036499,9.58440566887153,45.12637000000001,1.8887000000000285,39.57368045821168,25.42551915145965,183.36316,4.8723860000000005,245.61372930337592,213.76496622305444,1446.9971,9.560868,3.261861313868613,6,0.2675574601756387,0.2001501086336386,26.80_47.20,6,99.5,2,99.5
26.800000000000047,47.59999999999999,23.6912098722628,9.58980308483647,45.606840000000034,2.545920000000024,41.53729330948905,25.8478308819872,177.38242,4.712658,261.31433445939786,230.5247207817394,1622.0221,10.135995,3.394160583941606,6,0.2744696987864963,0.2044589303793433,26.80_47.60,6,99.5,2,99.5
26.800000000000047,47.99999999999999,23.945762299270097,9.673302777070774,45.99258000000003,3.150350000000003,48.155468229470806,33.27728824020455,256.09103,5.208405699999999,323.2399360018248,326.2962508563408,2284.8537,10.713581,3.6578467153284673,6,0.286912565665146,0.2106223400297491,26.80_48.00,6,99.5,5,99.5
26.800000000000047,48.399999999999984,24.447388010948927,9.671616793142972,46.54507000000001,4.102930000000015,60.96158022189781,49.030577229589575,385.283,4.6812434,416.5070237919708,464.5808366412666,3170.1338,9.95016,3.875,6,0.3111295185004561,0.2240298106403263,26.80_48.40,6,99.5,5,99.5
