location_name,cluster,air_quality_PM2.5,temperature_celsius,air_quality_us-epa-index,uv_index
Nairobi,0,20.3561569147668,20.0,1.0,3.0
Nairobi,0,20.3561569147668,20.0,1.0,3.0
Namawbin,5,16.8,20.0,1.0,3.0
Nan,0,23.49520478736086,20.0,1.0,3.0
Nan,3,23.49520478736086,20.0,1.0,3.0
Nassau,1,8.813230562619166,20.0,1.0,3.0
Nassau,2,8.813230562619166,20.0,1.0,3.0
National,0,17.09906970611654,20.0,1.0,3.0
National,5,17.09906970611654,20.0,1.0,3.0
New Delhi,5,110.0820705746017,20.0,1.0,3.0
New Delhi,3,110.0820705746017,20.0,1.0,3.0
New Guatemala,1,40.8,20.0,1.0,3.0
New York,2,9.033333333333333,20.0,1.0,3.0
New York,1,9.033333333333333,20.0,1.0,3.0
Newport East,1,3.5,20.0,1.0,3.0
Ngaoundere,0,26.756875,20.0,1.0,3.0
Ngaoundere,1,26.756875,20.0,1.0,3.0
Niamey,0,29.497214093715588,20.0,1.0,3.0
Niamey,5,29.497214093715588,20.0,1.0,3.0
Niamey,5,29.497214093715588,20.0,1.0,3.0
Nicosia,2,13.654408245188124,20.0,1.0,3.0
Nicosia,5,13.654408245188124,20.0,1.0,3.0
Ninga,1,3.0,20.0,1.0,3.0
Norman Gardens,5,10.491666666666667,20.0,1.0,3.0
Nouakchott,0,68.21189081834572,20.0,1.0,3.0
Nouakchott,0,68.21189081834572,20.0,1.0,3.0
Nuku'alofa,1,5.1000000000000005,20.0,1.0,3.0
Nuku'alofa,1,5.1000000000000005,20.0,1.0,3.0
Nuku`Aloia,0,8.372139037433154,20.0,1.0,3.0
Nuku`Aloia,1,8.372139037433154,20.0,1.0,3.0
Oslo,4,10.021553333301545,20.0,1.0,3.0
Oslo,2,10.021553333301545,20.0,1.0,3.0
Ottawa,4,8.666199999984105,20.0,1.0,3.0
Ottawa,2,8.666199999984105,20.0,1.0,3.0
Ouagadougou,5,40.46543883029451,20.0,1.0,3.0
Ouagadougou,0,40.46543883029451,20.0,1.0,3.0
Palau,1,0.95,20.0,1.0,3.0
Palau,1,0.95,20.0,1.0,3.0
Palikir,1,6.032137516720751,20.0,1.0,3.0
Palikir,1,6.032137516720751,20.0,1.0,3.0
Panama City,1,7.71367156233743,20.0,1.0,3.0
Panama City,1,7.71367156233743,20.0,1.0,3.0
Paramaribo,1,9.081415220102736,20.0,1.0,3.0
Paramaribo,0,9.081415220102736,20.0,1.0,3.0
Paris,4,18.037762981673847,20.0,1.0,3.0
Paris,2,18.037762981673847,20.0,1.0,3.0
Pasto,2,6.207999999999999,20.0,1.0,3.0
Pathein,1,2.475,20.0,1.0,3.0
Phnom Penh,3,28.23287717057802,20.0,1.0,3.0
Phnom Penh,0,28.23287717057802,20.0,1.0,3.0
Phnum Penh,5,10.3,20.0,1.0,3.0
Phnum Penh,3,10.3,20.0,1.0,3.0
Podgorica,2,14.813960000254314,20.0,1.0,3.0
Podgorica,4,14.813960000254314,20.0,1.0,3.0
Port Louis,0,8.217496670597244,20.0,1.0,3.0
Port Louis,0,8.217496670597244,20.0,1.0,3.0
Port Moresby,0,8.032952128420485,20.0,1.0,3.0
Port Moresby,0,8.032952128420485,20.0,1.0,3.0
Port Of Spain,1,9.775622163011171,20.0,1.0,3.0
Port Of Spain,0,9.775622163011171,20.0,1.0,3.0
